,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
3,Youssef En-Nesyri,FW,25.0,1.es Sevilla,7.0,7,542.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,1.2,1.2,0.0,1.3,0.21,0.01,0.21,0.21,0.21,Matches,Morocco,
4,Sofiane Boufal,FW,28.0,1.fr Angers,7.0,7,475.0,5.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.05,0.06,0.11,0.05,0.11,Matches,Morocco,
5,Yassine Bounou,GK,31.0,1.es Sevilla,6.0,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco,
6,Azzedine Ounahi,MF,22.0,1.fr Angers,7.0,6,568.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13,Matches,Morocco,
7,Romain Saïss,DF,32.0,1.tr Beşiktaş,6.0,6,466.0,5.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,0.8,0.8,0.0,0.8,0.16,0.0,0.16,0.16,0.16,Matches,Morocco,
8,Noussair Mazraoui,DF,24.0,1.de Bayern Munich,5.0,5,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.01,0.04,0.04,0.04,Matches,Morocco,
9,Selim Amallah,MF,25.0,1.be Standard Liège,7.0,4,409.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07,Matches,Morocco,
10,Nayef Aguerd,DF,26.0,1.eng West Ham,4.0,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.01,0.05,0.04,0.05,Matches,Morocco,
11,Jawad El Yamiq,DF,30.0,1.es Valladolid,6.0,3,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,Matches,Morocco,
12,Yahya Attiat Allah,DF,27.0,1.ma Wydad Casablanca,6.0,2,318.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28,0.2,0.2,1.2,1.4,0.07,0.37,0.44,0.07,0.44,Matches,Morocco,
13,Achraf Dari,DF,23.0,1.fr Brest,3.0,2,187.0,2.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,0.6,0.6,0.0,0.6,0.3,0.0,0.3,0.3,0.3,Matches,Morocco,
14,Abdelhamid Sabiri,MF,25.0,1.it Sampdoria,5.0,2,181.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.1,0.1,0.9,1.0,0.08,0.53,0.6,0.08,0.6,Matches,Morocco,
15,Munir,GK,33.0,1.sa Al-Wehda,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco,
16,Bilal El Khannous,MF,18.0,1.be Genk,1.0,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco,
